Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles
130,130,,25,25,6,0.300514,0.369706,0.024272,1,0.426667,128
146,146,,21,21,6,0.292744,0.355603,0.031291,0,0.42381,89
26,26,,11,11,8,0.217742,0.266731,0.000193,0,0.727273,40
51,51,,20,20,8,0.239427,0.311779,0.005517,0,0.484211,92
52,52,,16,16,8,0.219512,0.282821,0.001784,0,0.616667,74
27,27,,10,10,7,0.242739,0.28412,0.002499,0,0.733333,33
57,57,,13,13,8,0.207569,0.259202,0.000254,0,0.666667,52
28,28,,12,12,8,0.232296,0.281024,0.001096,0,0.651515,43
29,29,,9,9,8,0.21481,0.257044,0.000061,0,0.833333,30
30,30,,14,14,8,0.225869,0.279117,0.001907,0,0.549451,50
31,31,,18,18,8,0.236205,0.29731,0.007472,0,0.437908,67
99,99,,21,21,7,0.280576,0.346276,0.007604,1,0.457143,96
58,58,,13,13,9,0.203596,0.256428,0.000403,0,0.615385,48
32,32,,11,11,8,0.230618,0.280101,0.001032,0,0.618182,34
34,34,,21,21,7,0.266313,0.328137,0.014283,1,0.42381,89
33,33,,15,15,7,0.246489,0.299796,0.002877,1,0.533333,56
35,35,,21,21,7,0.270416,0.335687,0.008356,1,0.452381,95
62,62,,18,18,8,0.236205,0.301448,0.004707,0,0.477124,73
97,97,,20,20,7,0.276596,0.337492,0.015101,1,0.478947,91
96,96,,17,17,7,0.263711,0.317359,0.003015,1,0.595588,81
95,95,,13,13,7,0.253796,0.300434,0.000548,1,0.74359,58
98,98,,22,22,6,0.299488,0.35831,0.0143,1,0.467532,108
36,36,,24,24,7,0.278571,0.350265,0.012863,1,0.438406,121
63,63,,17,17,8,0.241403,0.306624,0.004442,1,0.470588,64
37,37,,27,27,7,0.280128,0.355752,0.013103,1,0.42735,150
64,64,,19,19,8,0.245455,0.315123,0.005208,1,0.497076,85
65,65,,19,19,7,0.258278,0.323606,0.002443,1,0.538012,92
91,91,,14,14,8,0.239264,0.296652,0.000946,1,0.582418,53
92,92,,16,16,7,0.252336,0.307251,0.002517,1,0.491667,59
93,93,,24,24,7,0.271252,0.337919,0.015195,1,0.423913,117
100,100,,26,26,6,0.303109,0.371462,0.022514,1,0.393846,128
38,38,,25,25,7,0.274219,0.349356,0.009001,1,0.52,156
44,44,,21,21,7,0.263316,0.332628,0.003245,1,0.609524,128
47,47,,26,26,7,0.266313,0.345347,0.011946,1,0.458462,149
48,48,,19,19,7,0.245626,0.31436,0.004037,1,0.520468,89
66,66,,19,19,7,0.250178,0.31626,0.003087,1,0.54386,93
101,101,,28,28,6,0.296453,0.374169,0.029338,1,0.433862,164
39,39,,22,22,7,0.279236,0.347334,0.009656,1,0.536797,124
43,43,,21,21,7,0.272516,0.341378,0.003959,1,0.604762,127
67,67,,21,21,7,0.267939,0.335138,0.010465,1,0.428571,90
89,89,,16,16,7,0.25343,0.314516,0.005964,1,0.508333,61
102,102,,24,24,7,0.290083,0.361186,0.012707,1,0.485507,134
40,40,,16,16,7,0.259232,0.321958,0.006063,1,0.641667,77
41,41,,14,14,8,0.247881,0.307526,0.004113,1,0.692308,63
42,42,,19,19,7,0.256955,0.324013,0.014993,1,0.502924,86
45,45,,21,21,7,0.250535,0.324902,0.013315,1,0.47619,100
46,46,,21,21,7,0.262528,0.335172,0.007866,1,0.5,105
68,68,,16,16,7,0.260579,0.316891,0.00785,1,0.458333,55
103,103,,23,23,7,0.27,0.344614,0.017174,1,0.450593,114
69,69,,17,17,6,0.282609,0.335613,0.005904,1,0.558824,76
110,110,,17,17,6,0.295455,0.349905,0.018739,1,0.477941,65
114,114,,19,19,6,0.289604,0.349763,0.010564,1,0.479532,82
162,162,,17,17,8,0.221451,0.28412,0.005162,0,0.522059,71
163,163,,16,16,8,0.222433,0.285711,0.004223,0,0.541667,65
166,166,,11,11,8,0.217472,0.269906,0.002657,0,0.690909,38
104,104,,21,21,7,0.288177,0.356281,0.036229,0,0.395238,83
131,131,,22,22,6,0.286765,0.351567,0.009812,0,0.47619,110
165,165,,10,10,8,0.21247,0.262817,0.000681,0,0.8,36
55,55,,13,13,8,0.211701,0.264811,0.000227,0,0.769231,60
60,60,,13,13,9,0.209427,0.265796,0.000689,0,0.705128,55
61,61,,16,16,8,0.216,0.277601,0.002018,0,0.6,72
56,56,,12,12,8,0.209178,0.26107,0.000224,0,0.772727,51
59,59,,9,9,9,0.191699,0.236248,0.000002,0,0.972222,35
90,90,,12,12,8,0.241237,0.296422,0.001608,1,0.621212,41
88,88,,11,11,7,0.239101,0.288434,0.000856,1,0.618182,34
117,117,,20,20,6,0.275727,0.3368,0.009913,1,0.442105,84
70,70,,12,12,7,0.255831,0.303025,0.005693,1,0.590909,39
71,71,,14,14,7,0.247881,0.297327,0.004085,1,0.505495,46
72,72,,18,18,6,0.277251,0.330627,0.009418,1,0.48366,74
73,73,,19,19,7,0.282154,0.337946,0.01152,1,0.48538,83
113,113,,18,18,6,0.289365,0.344065,0.007957,1,0.535948,82
116,116,,17,17,6,0.286064,0.341406,0.009845,1,0.463235,63
74,74,,18,18,7,0.278351,0.332248,0.018665,1,0.411765,63
85,85,,10,10,7,0.236842,0.280946,0.00442,3,0.488889,22
75,75,,9,9,7,0.260386,0.300482,0.002913,1,0.611111,22
76,76,,8,8,7,0.235097,0.270574,0.00002,1,0.892857,25
109,109,,17,17,6,0.301288,0.350142,0.011484,1,0.477941,65
112,112,,20,20,6,0.305483,0.360494,0.014853,1,0.447368,85
77,77,,12,12,7,0.245626,0.289187,0.00526,1,0.530303,35
319,319,,15,15,6,0.281025,0.333381,0.011822,3,0.438095,46
320,320,,15,15,6,0.265708,0.316524,0.01254,3,0.390476,41
78,78,,10,10,7,0.240246,0.28064,0.002702,1,0.533333,24
79,79,,8,8,7,0.225723,0.263492,0.004182,3,0.428571,12
80,80,,6,6,8,0.205865,0.236542,0.000132,3,0.666667,10
81,81,,10,10,8,0.214024,0.254029,0.001542,3,0.466667,21
82,82,,7,7,8,0.207692,0.240673,0.000328,3,0.619048,13
83,83,,10,10,8,0.2168,0.256553,0.003401,3,0.466667,21
84,84,,11,11,7,0.230466,0.274624,0.007172,3,0.418182,23
86,86,,13,13,7,0.247357,0.298535,0.006943,1,0.435897,34
87,87,,12,12,7,0.244941,0.295509,0.00599,1,0.5,33
120,120,,17,17,6,0.268554,0.323552,0.017067,1,0.382353,52
121,121,,15,15,7,0.253613,0.306085,0.00186,1,0.552381,58
94,94,,15,15,7,0.252336,0.303948,0.001214,1,0.619048,65
122,122,,16,16,7,0.261745,0.315032,0.004603,1,0.525,63
118,118,,22,22,6,0.281701,0.344919,0.015093,1,0.380952,88
123,123,,16,16,7,0.259041,0.311376,0.004807,1,0.516667,62
124,124,,18,18,6,0.283981,0.336372,0.009237,1,0.529412,81
125,125,,15,15,6,0.279014,0.326686,0.004484,1,0.638095,67
126,126,,17,17,6,0.291771,0.342308,0.017775,1,0.514706,70
127,127,,19,19,6,0.304423,0.358642,0.017435,1,0.467836,80
128,128,,19,19,6,0.308165,0.363723,0.024993,4,0.491228,84
129,129,,20,20,6,0.308707,0.366097,0.01775,4,0.463158,88
145,145,,18,18,6,0.302326,0.354321,0.036182,4,0.457516,70
111,111,,21,21,6,0.315647,0.373029,0.026562,1,0.390476,82
115,115,,19,19,6,0.311446,0.367331,0.025018,1,0.385965,66
105,105,,21,21,6,0.303109,0.359402,0.019189,0,0.414286,87
133,133,,21,21,7,0.26876,0.337871,0.017843,0,0.42381,89
134,134,,19,19,6,0.284672,0.341073,0.013649,0,0.467836,80
160,160,,13,13,8,0.234469,0.291935,0.00763,0,0.538462,42
106,106,,17,17,7,0.290804,0.343407,0.048209,0,0.470588,64
135,135,,18,18,7,0.264108,0.319007,0.008634,0,0.444444,68
107,107,,17,17,6,0.306818,0.355366,0.021168,2,0.522059,71
108,108,,17,17,6,0.306818,0.354891,0.01116,2,0.5,68
136,136,,15,15,7,0.269585,0.315914,0.010818,0,0.514286,54
138,138,,16,16,6,0.300257,0.346296,0.016585,2,0.533333,64
144,144,,17,17,5,0.313953,0.360969,0.026604,4,0.477941,65
137,137,,14,14,7,0.27747,0.321849,0.015627,0,0.538462,49
139,139,,16,16,6,0.301806,0.348718,0.031736,2,0.475,57
140,140,,21,21,6,0.326816,0.379487,0.06319,2,0.37619,79
142,142,,19,19,5,0.326816,0.374027,0.018528,4,0.444444,76
326,326,,17,17,6,0.290563,0.340883,0.018402,2,0.514706,70
141,141,,20,20,5,0.323502,0.373409,0.026622,2,0.410526,78
143,143,,17,17,5,0.322018,0.366952,0.042443,4,0.470588,64
312,312,,22,22,6,0.310619,0.366857,0.018723,3,0.393939,91
315,315,,17,17,6,0.30655,0.358784,0.017926,3,0.433824,59
316,316,,17,17,6,0.291771,0.344872,0.012235,3,0.455882,62
119,119,,17,17,6,0.274219,0.32754,0.00813,1,0.448529,61
274,274,,17,17,7,0.286064,0.339438,0.021475,3,0.404412,55
275,275,,9,9,7,0.247881,0.286494,0.001243,3,0.611111,22
339,339,,16,16,6,0.3,0.346201,0.023929,4,0.508333,61
307,307,,17,17,6,0.304159,0.353134,0.018035,4,0.536765,73
338,338,,16,16,6,0.296954,0.342877,0.013489,4,0.55,66
340,340,,24,24,6,0.330198,0.385945,0.072757,4,0.373188,103
341,341,,20,20,6,0.322907,0.374881,0.020974,4,0.436842,83
150,150,,12,12,7,0.245626,0.294119,0.002741,0,0.606061,40
152,152,,8,8,7,0.237966,0.273654,0.00017,0,0.785714,22
153,153,,14,14,8,0.234,0.281325,0.004832,0,0.483516,44
154,154,,10,10,8,0.227038,0.265324,0.002242,0,0.644444,29
155,155,,11,11,8,0.230921,0.271374,0.00746,0,0.6,33
325,325,,14,14,6,0.276814,0.322317,0.004282,2,0.681319,62
327,327,,18,18,6,0.296703,0.350855,0.015132,2,0.464052,71
328,328,,18,18,6,0.302065,0.35774,0.023038,2,0.490196,75
342,342,,21,21,5,0.327425,0.376591,0.041465,4,0.438095,92
329,329,,20,20,6,0.314235,0.370038,0.029612,2,0.468421,89
343,343,,18,18,5,0.322314,0.369373,0.041748,4,0.444444,68
344,344,,18,18,6,0.316501,0.367047,0.035514,4,0.457516,70
345,345,,16,16,6,0.286297,0.339506,0.016078,2,0.483333,58
156,156,,8,8,9,0.195652,0.230385,0.000039,0,0.821429,23
157,157,,12,12,9,0.202422,0.246292,0.001181,0,0.636364,42
158,158,,16,16,8,0.237002,0.287804,0.015316,0,0.491667,59
176,176,,14,14,9,0.202656,0.249141,0.001346,0,0.593407,54
177,177,,8,8,9,0.192963,0.225949,0.000417,0,0.785714,22
167,167,,11,11,8,0.211701,0.263197,0.000475,0,0.8,44
164,164,,11,11,8,0.207202,0.261332,0.000799,0,0.763636,42
168,168,,9,9,9,0.189015,0.23399,0.000011,0,0.944444,34
202,202,,6,6,10,0.1755,0.209545,0,5,1,15
203,203,,8,8,10,0.175676,0.212394,0.000059,5,0.75,21
204,204,,10,10,9,0.205986,0.248641,0.000863,5,0.733333,33
205,205,,12,12,9,0.208432,0.256713,0.001741,5,0.651515,43
206,206,,12,12,9,0.211064,0.261509,0.000674,5,0.681818,45
373,373,,15,15,9,0.21247,0.268679,0.001866,5,0.580952,61
374,374,,17,17,9,0.211573,0.269534,0.005277,5,0.492647,67
375,375,,14,14,9,0.207202,0.255194,0.002771,5,0.549451,50
207,207,,14,14,8,0.219101,0.275268,0.001899,5,0.527473,48
372,372,,20,20,8,0.226306,0.294756,0.007437,5,0.463158,88
208,208,,16,16,8,0.222011,0.283103,0.004318,5,0.508333,61
209,209,,14,14,9,0.195434,0.255796,0.001396,5,0.604396,55
371,371,,19,19,9,0.201956,0.266813,0.001532,5,0.502924,86
210,210,,14,14,9,0.197191,0.256763,0.00062,5,0.615385,56
211,211,,10,10,8,0.20184,0.252086,0.000214,5,0.755556,34
212,212,,15,15,8,0.215867,0.279616,0.002466,5,0.552381,58
213,213,,17,17,8,0.224138,0.291589,0.004452,5,0.492647,67
361,361,,18,18,8,0.238128,0.304918,0.012493,5,0.424837,65
370,370,,18,18,9,0.205504,0.270038,0.001581,5,0.542484,83
214,214,,15,15,8,0.221731,0.288468,0.005024,5,0.504762,53
215,215,,11,11,8,0.2168,0.271686,0.001041,5,0.690909,38
363,363,,16,16,8,0.220063,0.284317,0.003388,5,0.55,66
369,369,,13,13,9,0.201493,0.254558,0.000298,5,0.705128,55
216,216,,14,14,7,0.234,0.291066,0.003448,5,0.571429,52
217,217,,21,21,7,0.243243,0.316768,0.006495,5,0.428571,90
218,218,,18,18,8,0.223709,0.292633,0.003454,5,0.509804,78
332,332,,22,22,7,0.269172,0.341521,0.013467,5,0.437229,101
348,348,,20,20,7,0.256767,0.325872,0.012446,5,0.478947,91
219,219,,15,15,7,0.240906,0.300787,0.002429,5,0.580952,61
220,220,,21,21,7,0.24929,0.318383,0.010992,5,0.438095,92
221,221,,21,21,7,0.239754,0.305963,0.009969,5,0.466667,98
347,347,,19,19,6,0.2808,0.341026,0.013379,5,0.502924,86
349,349,,16,16,7,0.251613,0.311247,0.007129,5,0.466667,56
222,222,,16,16,8,0.221033,0.281909,0.000932,5,0.575,69
246,246,,22,22,7,0.26,0.334975,0.008221,2,0.480519,111
249,249,,15,15,8,0.22616,0.293013,0.001514,5,0.561905,59
250,250,,24,24,7,0.252336,0.330064,0.011814,5,0.413043,114
253,253,,19,19,8,0.2168,0.285243,0.002433,5,0.538012,92
223,223,,14,14,7,0.241237,0.294974,0.00339,5,0.538462,49
254,254,,22,22,8,0.223852,0.293732,0.003189,5,0.493506,114
224,224,,20,20,7,0.259041,0.32518,0.015472,5,0.410526,78
225,225,,16,16,8,0.224712,0.283574,0.001891,5,0.541667,65
330,330,,26,26,6,0.298216,0.37075,0.024169,2,0.427692,139
346,346,,20,20,6,0.290323,0.354416,0.031592,5,0.431579,82
226,226,,11,11,8,0.21481,0.264428,0.000189,5,0.727273,40
251,251,,20,20,7,0.240246,0.311355,0.004933,5,0.489474,93
252,252,,16,16,8,0.218148,0.282068,0.001665,5,0.616667,74
257,257,,14,14,8,0.20868,0.264432,0.000385,5,0.637363,58
227,227,,10,10,7,0.232604,0.276075,0.001134,5,0.733333,33
228,228,,12,12,8,0.231683,0.280576,0.001686,5,0.651515,43
229,229,,9,9,8,0.211446,0.254599,0.000059,5,0.833333,30
230,230,,14,14,8,0.221731,0.276357,0.0016,5,0.549451,50
231,231,,18,18,8,0.236364,0.29748,0.008048,5,0.437908,67
232,232,,11,11,8,0.229712,0.279036,0.001109,5,0.618182,34
234,234,,21,21,7,0.26,0.322873,0.012532,2,0.419048,88
258,258,,14,14,8,0.212856,0.26607,0.000441,5,0.604396,55
233,233,,16,16,7,0.245112,0.299111,0.003003,2,0.516667,62
235,235,,22,22,7,0.265106,0.332845,0.011378,2,0.428571,99
262,262,,18,18,7,0.237805,0.302191,0.003537,5,0.48366,74
296,296,,17,17,7,0.258278,0.31181,0.00244,2,0.610294,83
297,297,,20,20,7,0.274648,0.334358,0.018665,2,0.489474,93
295,295,,13,13,7,0.251613,0.297375,0.000464,2,0.769231,60
298,298,,22,22,6,0.29397,0.352469,0.017228,2,0.467532,108
236,236,,24,24,7,0.278351,0.349125,0.011954,2,0.449275,124
263,263,,16,16,7,0.243412,0.305155,0.003505,2,0.491667,59
299,299,,20,20,6,0.2808,0.344017,0.006746,2,0.468421,89
237,237,,28,28,7,0.285831,0.360331,0.015509,2,0.425926,161
264,264,,20,20,7,0.24929,0.320208,0.006598,2,0.494737,94
265,265,,20,20,7,0.265507,0.329311,0.003059,2,0.521053,99
291,291,,13,13,7,0.241902,0.295564,0.000624,2,0.615385,48
292,292,,16,16,7,0.250893,0.304145,0.002903,2,0.483333,58
293,293,,23,23,7,0.270833,0.335334,0.011548,2,0.434783,110
300,300,,26,26,6,0.302326,0.371083,0.021447,2,0.418462,136
238,238,,25,25,7,0.272939,0.348358,0.008496,2,0.53,159
247,247,,26,26,7,0.264307,0.344071,0.010856,2,0.470769,153
248,248,,19,19,7,0.24929,0.316389,0.003779,2,0.538012,92
266,266,,20,20,7,0.257899,0.323443,0.003137,2,0.547368,104
301,301,,30,30,6,0.303109,0.381102,0.036891,2,0.411494,179
239,239,,22,22,7,0.280351,0.347517,0.009785,2,0.545455,126
243,243,,22,22,7,0.270208,0.341806,0.004903,2,0.580087,134
244,244,,23,23,7,0.263514,0.337688,0.007338,2,0.561265,142
267,267,,21,21,7,0.26391,0.329725,0.008911,2,0.447619,94
289,289,,16,16,7,0.252882,0.312841,0.008409,2,0.491667,59
302,302,,23,23,7,0.291286,0.359239,0.012091,2,0.505929,128
240,240,,15,15,7,0.258468,0.318023,0.001777,2,0.704762,74
241,241,,14,14,8,0.246489,0.30545,0.003477,2,0.692308,63
242,242,,19,19,7,0.258468,0.324569,0.01281,2,0.51462,88
245,245,,22,22,7,0.255273,0.328402,0.011724,2,0.480519,111
268,268,,15,15,7,0.256204,0.311342,0.007402,3,0.466667,49
269,269,,17,17,6,0.283065,0.336657,0.005531,3,0.544118,74
303,303,,23,23,7,0.271042,0.344037,0.015253,2,0.458498,116
310,310,,18,18,6,0.298978,0.353609,0.026594,3,0.437908,67
314,314,,21,21,6,0.294463,0.355603,0.016687,3,0.442857,93
366,366,,11,11,8,0.218012,0.270258,0.002038,5,0.690909,38
362,362,,17,17,8,0.222011,0.283578,0.004667,5,0.522059,71
304,304,,22,22,7,0.288177,0.358187,0.037162,5,0.402597,93
331,331,,21,21,6,0.285831,0.349573,0.007399,5,0.509524,107
364,364,,11,11,8,0.210432,0.263194,0.000799,5,0.763636,42
365,365,,12,12,8,0.222293,0.277818,0.00356,5,0.636364,42
255,255,,14,14,8,0.216934,0.272473,0.000446,5,0.714286,65
260,260,,12,12,8,0.210432,0.263306,0.00052,5,0.69697,46
261,261,,17,17,8,0.225289,0.28761,0.004208,5,0.558824,76
256,256,,12,12,8,0.206592,0.259317,0.000201,5,0.787879,52
259,259,,9,9,9,0.192223,0.237895,0.000007,5,0.944444,34
290,290,,12,12,7,0.243919,0.296846,0.001446,2,0.621212,41
288,288,,11,11,7,0.23557,0.285931,0.001241,2,0.581818,32
317,317,,19,19,6,0.274648,0.332146,0.009061,3,0.461988,79
270,270,,11,11,7,0.254902,0.302408,0.002889,3,0.672727,37
271,271,,13,13,7,0.252336,0.300081,0.008128,3,0.435897,34
272,272,,18,18,6,0.287705,0.340931,0.013058,3,0.457516,70
273,273,,15,15,7,0.279459,0.329087,0.009951,3,0.495238,52
313,313,,18,18,6,0.290323,0.344967,0.008476,3,0.522876,80
276,276,,12,12,7,0.249822,0.293759,0.004889,3,0.469697,31
309,309,,15,15,6,0.300514,0.346439,0.006775,4,0.542857,57
277,277,,9,9,8,0.237805,0.276865,0.00381,3,0.5,18
278,278,,7,7,7,0.221871,0.256973,0.001047,3,0.52381,11
279,279,,7,7,7,0.222433,0.258398,0.001094,3,0.52381,11
280,280,,6,6,8,0.204307,0.235392,0.000284,3,0.533333,8
281,281,,10,10,8,0.217877,0.257886,0.001936,3,0.444444,20
282,282,,8,8,8,0.217472,0.254562,0.001076,3,0.571429,16
283,283,,10,10,8,0.220894,0.261515,0.004295,3,0.466667,21
284,284,,8,8,8,0.217742,0.255986,0.002365,3,0.5,14
285,285,,10,10,7,0.238776,0.282506,0.003627,3,0.488889,22
286,286,,14,14,7,0.250714,0.302849,0.012763,3,0.384615,35
287,287,,12,12,7,0.245112,0.294268,0.005026,3,0.484848,32
294,294,,13,13,7,0.247009,0.293936,0.00062,2,0.679487,53
322,322,,12,12,7,0.256392,0.302618,0.003292,2,0.636364,42
318,318,,19,19,6,0.276161,0.336752,0.010702,3,0.397661,68
321,321,,14,14,7,0.252518,0.303717,0.002668,2,0.538462,49
323,323,,16,16,7,0.262528,0.315724,0.010908,2,0.5,60
324,324,,17,17,7,0.270208,0.322962,0.005905,2,0.558824,76
311,311,,22,22,6,0.313953,0.370988,0.023337,3,0.385281,89
305,305,,22,22,6,0.305483,0.362156,0.022273,4,0.424242,98
333,333,,22,22,7,0.269792,0.339242,0.018067,5,0.424242,98
334,334,,20,20,7,0.281476,0.343,0.015045,5,0.457895,87
360,360,,13,13,8,0.235412,0.294899,0.007392,5,0.512821,40
306,306,,16,16,7,0.293724,0.344329,0.044391,4,0.516667,62
335,335,,17,17,7,0.26194,0.316117,0.006549,4,0.470588,64
359,359,,20,20,8,0.252518,0.313753,0.032346,5,0.389474,74
308,308,,18,18,6,0.305483,0.355508,0.010148,4,0.503268,77
336,336,,14,14,7,0.271042,0.315839,0.007937,4,0.56044,51
337,337,,14,14,7,0.280128,0.324149,0.022852,4,0.505495,46
350,350,,12,12,7,0.246489,0.295231,0.002663,5,0.606061,40
351,351,,10,10,8,0.235255,0.281268,0.000885,5,0.622222,28
352,352,,8,8,8,0.236682,0.27325,0.00019,4,0.75,21
353,353,,13,13,8,0.236046,0.281512,0.004946,5,0.448718,35
354,354,,9,9,8,0.229112,0.265605,0.00269,5,0.611111,22
355,355,,8,8,8,0.226014,0.260002,0.004047,5,0.714286,20
356,356,,8,8,9,0.19697,0.231357,0.000048,5,0.785714,22
357,357,,11,11,9,0.204307,0.246932,0.001295,5,0.636364,35
358,358,,14,14,8,0.238613,0.286403,0.012983,5,0.472527,43
376,376,,13,13,9,0.204307,0.248831,0.002414,5,0.551282,43
377,377,,7,7,9,0.19403,0.225021,0.00033,5,0.809524,17
367,367,,11,11,8,0.212727,0.263495,0.000381,5,0.8,44
368,368,,9,9,9,0.191699,0.23682,0.000013,5,0.944444,34
